Name,Price,Rating,Proccesor,Core,Thread,RAM(GB),Storage,Graphic_card,Display,Pixel,OS
HP 15-fc1038AU Laptop,66240,62.0,7th Gen AMD Ryzen 7 7735HS,Octa Core,16,16,512GB,AMD Radeon AMD,15.6 inches, 1920 x 1080 pixels,Windows 11 OS
HP Victus 15-fb0178AX Gaming Laptop,66240,62.0,5th Gen AMD Ryzen 5 5600H,Hexa Core,12,16,512GB,4GB NVIDIA GeForce RTX 3050,15.6 inches, 1920 x 1080 pixels,Windows 11 OS
HP 14-ep0340TU Laptop,66240,,13th Gen Intel Core i5 1334U,10 Cores (2P + 8E),12,16,512GB,Intel UHD Graphics,14 inches, 1920 x 1080 pixels,Windows 11 OS
HP Victus 15-fb0184AXGaming Laptop,66240,64.0,5th Gen AMD Ryzen 5 5600H,Hexa Core,12,8 ,512GB,4GB AMD Radeon RX 6500M Graphics,15.6 inches, 1920 x 1080 pixels,Windows 11 OS
HP 15-fd0572TU Laptop,66240,53.0,13th Gen Intel Core i3 1315U,Hexa Core (2P + 4E),8,8 ,512GB,Intel Integrated UHD,15.6 inches, 1920 x 1080 pixels,Windows 11 OS
HP Victus 15-fa2090TX Gaming Laptop,66240,53.0,13th Gen Intel Core i5 13420H,Octa Core (4P + 4E),12,8 ,512GB,4GB NVIDIA GeForce RTX 2050,15.6 inches, 1920 x 1080 pixels,Windows 11 OS
HP Omen 17-cm2027TX Gaming Laptop,66240,75.0,13th Gen Intel Core i7 13700HX,16 Cores (8P + 8E),24,16,1TB,8GB NVIDIA GeForce RTX 4060,17.3 inches, 2560 x 1440 pixels,Windows 11 OS
HP Victus 15-FA1415TX  Gaming Laptop,66240,63.0,12th Gen Intel Core i7 12650H,10 Cores (6P + 4E),16,16,512GB,4GB NVIDIA GeForce RTX 3050A,15.6 inches, 1920 x 1080 pixels,Windows 11 OS
HP Pavilion Plus 14-ew0108TU Laptop,66240,59.0,13th Gen Intel Core i5 1335U,10 Cores (2P + 8E),12,16,512GB,Intel Iris Xe Graphics,14 inches, 1920 x 1200 pixels,Windows 11 OS
HP Pavilion Plus 14-ew0107TU Laptop,66240,57.0,13th Gen Intel Core i5 1335U,10 Cores (2P + 8E),12,16,512GB,Intel Iris Xe Graphics,14 inches, 1920 x 1200 pixels,Windows 11 OS
HP 245 G9 Laptop,66240,60.0,5th Gen AMD Ryzen 5 5625U,Hexa Core,12,16,512GB,AMD Radeon Graphics,14 inches, 1366 x 768 pixels,Windows 11 OS
HP EliteBook 840 G10 Business Laptop,66240,56.0,13th Gen Intel Core i5 1335U,10 Cores (2P + 8E),12,32,1TB,‎Intel Iris Xe Graphics,15.6 inches, 1920 x 1200 pixels,Windows 11 OS
HP ZBook Firefly 14 G11 A1VL1PT Laptop,66240,75.0,Intel Core Ultra 7 Series 1 155H,16 Cores (6P + 8E + 2LP-E),22,32,1TB,4GB NVIDIA RTX A500 Laptop GP,14 inches, 1920 x 1200 pixels,Windows 11 OS
HP 240 G9 6S6U4EA Notebook Laptop,66240,60.0,12th Gen Intel Core i7 1255U,10 Cores (2P + 8E),12,16,512GB,Intel Integrated Intel Iris X Graphics,14 inches, 1920 x 1080 pixels,Windows 11 OS
HP Victus 15-fa1346TX Gaming Laptop,66240,57.0,13th Gen Intel Core i5 13420H,Octa Core (4P + 4E),12,16,512GB,4GB NVIDIA GeForce RTX 2050,15.6 inches, 1920 x 1080 pixels,Windows 11 OS
HP ZBook Firefly 14 G10 8F6D3PA Workstation Laptop,66240,68.0,13th Gen Intel Core i5 1335U,10 Cores (2P + 8E),12,16,512GB,4GB NVIDIA RTX A500,14 inches, 1920 x 1200 pixels,Windows 11 OS
HP 15-fd1197TU Laptop,66240,61.0,Intel Core Ultra 5 Series 1 125H,14 Cores (4P + 8E + 2LP-E),18,16,1TB,Intel Integrated Graphics,15.6 inches, 1920 x 1080 pixels,Windows 11 OS
HP 15-fd0063TU Laptop,66240,,12th Gen Intel Core i3 1215U,Hexa Core (2P + 4E),8,8 ,512GB,Intel Integrated Graphics,15.6 inches, 1920 x 1080 pixels,Windows 11 OS
HP Victus 15-fa1274TX Gaming Laptop,66240,68.0,13th Gen Intel Core i7 13620H,10 Cores (6P + 4E),16,16,512GB,6GB NVIDIA GeForce RTX 4050,15.6 inches, 1920 x 1080 pixels,Windows 11 OS
HP Victus 16-R0327TX Gaming Laptop,66240,68.0,13th Gen Intel Core i5 13500HX,14 Cores (6P + 8E),20,16,512GB,6GB NVIDIA GeForce RTX 3050,16.1 inches, 1920 x 1080 pixels,Windows 11 OS
HP Victus 15-fa1276TX Gaming Laptop,66240,66.0,13th Gen Intel Core i7 13620H,10 Cores (6P + 4E),16,16,512GB,8GB NVIDIA GeForce RTX 4060,15.6 inches, 1920 x 1080 pixels,Windows 11 OS
HP Omen 16-xd0017AX Gaming Laptop,66240,,7th Gen AMD Ryzen 7 7840HS,Octa Core,16,32,1TB,8GB NVIDIA GeForce RTX 4060,16.1 inches, 1080 x 1920 pixels,Windows 11 OS
HP Victus 15-fa1332tx Gaming Laptop,66240,64.0,13th Gen Intel Core i7 13620H,10 Cores (6P + 4E),16,16,1TB,6GB NVIDIA GeForce RTX 4050,15.6 inches, 1920 x 1080 pixels,Windows 11 OS
HP Victus 15-fa1312TX Gaming Laptop,66240,64.0,12th Gen Intel Core i5 12450H,Octa Core (4P + 4E),12,8 ,512GB,4GB NVIDIA GeForce RTX 2050,15.6 inches, 1920 x 1080 pixels,Windows 11 OS
HP Omen 16-wf0148TX Gaming Laptop,66240,77.0,13th Gen Intel Core i9 13900HX,24 Cores (8P + 16E),32,16,1TB,8GB NVIDIA GeForce RTX 4060,16.1 inches, 2560 x 1440 pixels,Windows 11 OS
HP Victus 15-fa0444TX Gaming Laptop,66240,59.0,12th Gen Intel Core i5 12450H,Octa Core (4P + 4E),12,16,512GB,4GB NVIDIA GeForce RTX 3050,15.6 inches, 1920 x 1080 pixels,Windows 11 OS
HP Victus 15-fa1227TX Gaming Laptop,66240,61.0,12th Gen Intel Core i5 12450H,Octa Core (4P + 4E),12,16,512GB,4GB NVIDIA GeForce RTX 2050,15.6 inches, 1920 x 1080 pixels,Windows 11 OS
HP Victus 15-fa1317TX Gaming Laptop,66240,62.0,13th Gen Intel Core i5 13420H,Octa Core (4P + 4E),12,16,1TB,6GB NVIDIA GeForce RTX 4050,15.6 inches, 1920 x 1080 pixels,Windows 11 OS
HP Victus 15-fa0186TX Gaming Laptop,66240,62.0,12th Gen Intel Core i5 12450H,Octa Core (4P + 4E),12,16,1TB,4GB NVIDIA GeForce RTX 3050,15.6 inches, 1920 x 1080 pixels,Windows 11 OS
HP Omen 14-fb0089TX Gaming Laptop,66240,77.0,Intel Core Ultra 7 Series 1 155H,16 Cores (6P + 8E + 2LP-E),22,16,1TB,8GB NVIDIA GeForce RTX 4060,14 inches, 2880 x 1800 pixels,Windows 11 OS
HP Envy x360 ‎14-fc0100TU Laptop,66240,73.0,Intel Core Ultra 7 155U,12 Cores (2P + 8E + 2LP-E),14,32,1TB,Integrated Intel Graphics,14 inches, 1920 x 1200 pixels,Windows 11 OS
HP Omen Transcend 14-fb0007TX Gaming Laptop,66240,74.0,Intel Core Ultra 7 Series 1 155H,16 Cores (6P + 8E + 2LP-E),22,16,1TB,8GB NVIDIA GeForce RTX 4060,14 inches, 2880 x 1800 pixels,Windows 11 OS
HP Pavilion 15-eg3032TU Laptop,66240,64.0,13th Gen Intel Core i7 1360P,12 Cores (4P + 8E),16,16,512GB,Intel Iris Xe Graphics,15.6 inches, 1920 x 1080 pixels,Windows 11 OS
HP Victus 15-fa1216TX Gaming Laptop,66240,62.0,13th Gen Intel Core i5 13420H,Octa Core (4P + 4E),12,16,512GB,NVIDIA GeForce RTX 3050,15.6 inches, 1920 x 1080 pixels,Windows 11 OS
HP Omen 16-xd0010AX Gaming Laptop,66240,75.0,7th Gen AMD Ryzen 7 7840HS,Octa Core,16,16,1TB,6GB NVIDIA GeForce RTX 4050,16.1 inches, 1920 x 1080 pixels,Windows 11 OS
HP Pavilion 15 15-eg2124TU Laptop,66240,,12th Gen Intel Core i3 1215U,Hexa Core (2P + 4E),8,12,512GB,Intel Iris Xe Graphics,15.6 inches, 1920 x 1080 pixels,Windows 11 OS
HP Victus 16-r0076TX Gaming Laptop,66240,68.0,13th Gen Intel Core i5 13500HX,14 Cores (6P + 8E),20,16,512GB,6GB NVIDIA GeForce RTX 4050,16.1 inches, 1920 x 1080 pixels,Windows 11 OS
HP Victus 16-r0075TX Gaming Laptop,66240,68.0,13th Gen Intel Core i5 13500HX,14 Cores (6P + 8E),20,16,512GB,6GB NVIDIA GeForce RTX 4050,16.1 inches, 1920 x 1080 pixels,Windows 11 OS
HP Pavilion Plus ‎16-ab0456TX Laptop,66240,72.0,13th Gen Intel Core i7 13700H,14 Cores (6P + 8E),20,16,1TB,6GB NVIDIA GeForce RTX 3050,16 inches, 2560 x 1600 pixels,Windows 11 OS
HP Victus 15-fb0157AX Gaming Laptop,66240,65.0,5th Gen AMD Ryzen 5 5600H,Hexa Core,12,8 ,512GB,4GB AMD Radeon RX 6500M,15.6 inches, 1920 x 1080 pixels,Windows 11 OS
HP Pavilion Plus ‎14-ey0789AU Laptop,66240,69.0,7th Gen Amd Ryzen 7 7840H,Octa Core,16,16,1TB,AMD Radeon 780M Graphics,14 inches, 2880 x 1800 pixels,Windows 11 OS
HP Victus 16-s0094AX Gaming Laptop,66240,73.0,7th Gen AMD Ryzen 7 7840HS,Octa Core,16,16,1TB,6GB NVIDIA GeForce RTX 3050,16.1 inches, 1920 x 1080 pixels,Windows 11 OS
HP Victus 15-fb1015AX Gaming Laptop,66240,66.0,7th Gen Amd Ryzen 5 7535HS,Hexa Core,12,8 ,512GB,4GB NVIDIA GeForce RTX 2050,15.6 inches, 1920 x 1080 pixels,Windows 11 OS
HP Victus 15-fb0150AX Gaming Laptop,66240,68.0,5th Gen AMD Ryzen 5 5600H,Hexa Core,12,16,512GB,4GB AMD Radeon RX 6500M Graphics,15.6 inches, 1920 x 1080 pixels,Windows 11 OS
HP Victus 15-FB0142AX Gaming Laptop,66240,68.0,5th Gen AMD Ryzen 5 5600H,Hexa Core,12,16,512GB,4GB NVIDIA GeForce RTX 3050,15.6 inches, 1920 x 1080 pixels,Windows 11 OS
HP Victus 15-fa1064TX Gaming Laptop,66240,68.0,13th Gen Intel Core i7 13700H,14 Cores (6P + 8E),20,16,512GB,6GB NVIDIA GeForce RTX 4050,15.6 inches, 1920 x 1080 pixels,Windows 11 OS
HP Omen 16-wf0052TX Gaming Laptop,66240,70.0,13th Gen Intel Core i5 13500HX,14 Cores (6P + 8E),20,16,512GB,6GB NVIDIA GeForce RTX 4050,16.1 inches, 1920 x 1080 pixels,Windows 11 OS
HP Omen 16-wd0770TX Gaming Laptop,66240,68.0,13th Gen Intel Core i5 13420H,Octa Core (4P + 4E),12,16,512GB,6GB NVIDIA GeForce RTX 4050,16.1 inches, 1920 x 1080 pixels,Windows 11 OS
HP Victus 15-fb0134AX Gaming Laptop,66240,65.0,5th Gen AMD Ryzen 5 5600H,Hexa Core,12,16,512GB,4GB AMD Radeon RX 6500M Graphics,15.6 inches, 1920 x 1080 pixels,Windows 11 OS
HP Omen 16-wf0055TX Gaming Laptop,66240,72.0,13th Gen Intel Core i7 13700HX,16 Cores (8P + 8E),24,16,512GB,8GB NVIDIA GeForce RTX 4060,16.1 inches, 1920 x 1080 pixels,Windows 11 OS
HP Victus 16-D0314TX Gaming Laptop,66240,71.0,11th Gen Intel Core i5 11400H ,Hexa Core,12,16,512GB,4GB NVIDIA GeForce GTX 1650,16.1 inches, 1920 x 1080 pixels,Windows 11 OS
HP ZBook Studio G9 WUXGA 16 Workstation Laptop,66240,,12th Gen Intel Core i9 12900H,14 Cores (6P + 8E),20,32,1TB,16GB NVIDIA GeForce RTX 3080 Ti ,16 inches,,Windows 11 OS
HP ZBook Studio G9 16 WUXGA Workstation Laptop,66240,78.0,12th Gen Intel Core i7 12700H ,14 Cores (6P + 8E),20,16,1TB,6GB NVIDIA GeForce RTX 3060,16 inches, 1920 x 1200 pixels,Windows 11 OS
HP Pavilion Plus ‎14-eh1047TU Laptop,66240,66.0,13th Gen Intel Core i7 13700H,14 Cores (6P + 8E),20,16,512GB,Intel Integrated Iris Xe,14 inches, 2880 x 1800 pixels,Windows 11 OS
HP Victus 15-fb0131AX Gaming Laptop,66240,61.0,5th Gen AMD Ryzen 5 5600H,Hexa Core,12,8 ,512GB,4GB AMD Radeon RX 5600M ,15.6 inches, 1920 x 1080 pixels,Windows 11 OS
HP Elite Dragonfly G3 6Y036PA Laptop,66240,72.0,12th Gen Intel Core i7 1265U,10 Cores (2P + 8E),12,32,1TB,Intel Iris Xe Graphics,13.5 inches, 1280 x 1080 pixels,Windows 11 OS
HP Victus 15-Fa0117TX Laptop,66240,66.0,12th Gen Intel Core i5 12450H,Octa Core (4P + 4E),12,16,512GB,4GB NVIDIA GeForce GTX 1650,15.6 inches, 1920 x 1080 pixels,Windows 11 OS
HP Envy x360 15-ew0043TU 2-in-1 Laptop,66240,68.0,12th Gen Intel Core i5 1235U,10 Cores (2P + 8E),12,16,512GB,Intel Iris Xe Graphics,15.6 inches, 1920 x 1080 pixels,Windows 11 OS
HP 14s-dq2649TU Laptop,66240,55.0,11th Gen Intel Core i3 1115G4,Dual Core,4,8 ,512GB,Intel Integrated UHD,14 inches, 1920 x 1080 pixels,Windows 11 OS
HP 15s-du3612TU Laptop,66240,59.0,11th Gen Intel Core i3 1115G4,Dual Core,4,8 ,1TB,256GB SSD,Intel Integrated UHD,,"15.6 inches, 1920 x 1080 pixels"
HP ProBook 640 G8 Business Laptop,66240,62.0,11th Gen Intel Core i5 1145G7,Quad Core,8,8 ,512GB,Intel Integrated ,14 inches, 1920 x 1080 pixels,Windows 10 OS
HP ProBook 440 G8 Laptop,66240,53.0,11th Gen Intel Core i5 1135G7,Quad Core,8,8 ,512GB,Intel Iris Xe Graphics,14 inches, 1366 x 768 pixels,Windows 11 OS
HP Omen 16-n0049AX Gaming Laptop,66240,57.0,6th Gen AMD Ryzen 7  6800H,Octa Core,16,16,512GB,4GB NVIDIA GeForce RTX 3050Ti,16 inches, 1920 x 1080 pixels,Windows 11 OS
HP ProBook 450 G8 4Y7G3PA Laptop,66240,57.0,11th Gen Intel Core i3 1115G4,Dual Core,4,8 ,256GB,Intel UHD Graphics,15.6 inches, 1366 x 768 pixels,Windows 10 OS
HP 430 G8 366B1PA Business Laptop,66240,,Processor: Intel Core i7-1165G7 (up to 4.7 GHz with Intel Turbo Boost Technology,Memory &amp; Storage: 8 GB DDR4-3200 MHz RAM (1 x 8GB)</li,,St,Display:,Graphics &amp; Networking: Intel Iris X Graphics,Intel AX201 Wi-Fi 6 (2x2) and Bluetooth 5 combo,,Ports: 2 SuperSpeed USB Type-A 5Gbps signaling rate (1 charging
HP Envy x360 13-bf0078TU Laptop,66240,59.0,12th Gen Intel Core i5 1230U,10 Cores (2P + 8E),12,8 ,512GB,Intel Iris X Graphics,13.3 inches, 1920 x 1080 pixels,Windows 11 OS
HP 255 G8 6V2R7PA Laptop,66240,,3rd Gen AMD Athlon  3050U,Dual Core,2,4 ,1TB,AMD Radeon Graphics,15.6 inches, 1366 x 768 pixels,DOS OS
HP Pavilion 15-eg2039TU Laptop,66240,63.0,12th Gen Intel Core i7 1260P,12 Cores (4P + 8E),16,16,1TB,Intel Integrated Iris Xe,15.6 inches, 1920 x 1080 pixels,Windows 11 OS
HP Victus 16-e0352AX Gaming Laptop,66240,65.0,5th Gen AMD Ryzen 5 5600H ,Hexa Core,12,8 ,512GB,4GB NVIDIA GeForce GTX 1650,16.1 inches, 1920 x 1080 pixels,Windows 11 OS
HP Pavilion Gaming 15-DK1520TX Laptop,66240,64.0,10th Gen Intel Core i5 10300H,Quad Core,8,8 ,512GB,4GB NVIDIA GeForce GTX 1650,15.6 inches, 1920 x 1080 pixels,Windows 11 OS
HP Pavilion 15-eh2025au Laptop,66240,55.0,5th Gen AMD Ryzen 5 5625U,Hexa Core,12,8 ,512GB,AMD Radeon Graphics,15.6 inches, 1920 x 1080 pixels,Windows 11 OS
HP 15s-du3519TX Laptop,66240,61.0,11th Gen Intel Core i5 1135G7,Quad Core,8,8 ,512GB,2GB NVIDIA GeForce MX450,15.6 inches, 1920 x 1080 pixels,Windows 11 OS
HP Envy x360 13-ay1037AU Laptop,66240,68.0,5th Gen AMD Ryzen 7  5800U,Octa Core,16,16,1TB,AMD Radeon Graphic,13.3 inches, 1920 x 1080 pixels,Windows 11 OS
HP Victus 16-e0351AX Gaming Laptop,66240,65.0,5th Gen AMD Ryzen 7 5800H ,Octa Core,16,16,512GB,4GB NVIDIA GeForce RTX 3050,16.1 inches, 1920 x 1080 pixels,Windows 11 OS
HP EliteBook 850 G6 Laptop,66240,59.0,8th Gen Intel Core i5 8265U,Quad Core,8,16,1TB,2GB AMD Radeon RX 550,14 inches, 1920 x 1080 pixels,Windows 10 OS
HP 240 G8 Laptop,66240,,11th Gen Intel Core i5 1135G7 ,Quad Core,8,8 ,512GB,Intel Integrated,14 inches, 1366 x 768 pixels,Windows 10 OS
HP Pavilion 14-ec1003AU Laptop,66240,53.0,5th Gen AMD Ryzen 5 5625U ,Hexa Core,12,8 ,512GB,AMD Radeon Graphics,14 inches, 1920 x 1080 pixels,Windows 11 OS
HP 430 G8 364C5PA Business Laptop,66240,59.0,11th Gen Intel Core i5 1135G7 ,Quad Core,8,8 ,512GB,Intel Iris Xe Graphics,13.3 inches, 1366 x 768 pixels,Windows 10 OS
HP 15s- fq4021TU Laptop,66240,56.0,11th Gen Intel Core i5 1155G7,Quad Core,8,8 ,512GB,Intel Iris Xe Graphics,15.6 inches, 1920 x 1080 pixels,Windows 11 OS
HP Pavilion 15-EC2146AX Gaming Laptop,66240,63.0,5th Gen AMD Ryzen 7  5800H,Octa Core,16,16,512GB,4GB NVIDIA GeForce RTX 3050,15.6 inches, 1920 x 1080 pixels,Windows 11 OS
HP 15s-du3563TU Laptop,66240,51.0,11th Gen Intel Core i3 1125G4,Quad Core,8,8 ,512GB,Intel Integrated UHD,15.6 inches, 1366 x 768 pixels,Windows 11 OS
HP 14s-fq1083AU Laptop,66240,51.0,5th Gen AMD Ryzen 7  5700U,Octa Core,16,8 ,512GB,AMD Radeon AMD,14 inches, 1920 x 1080 pixels,Windows 10 OS
HP Pavilion 14-dv0543TU Laptop,66240,53.0,11th Gen Intel Core i5 1135G7,Quad Core,8,8 ,512GB,Intel Integrated Iris Xe,14 inches, 1920 x 1080 pixels,Windows 10 OS
HP Pavilion 15-DK2100TX Gaming Laptop,66240,68.0,11th Gen Intel Core i5 11300H,Quad Core,8,8 ,1TB,256GB SSD,4 GB NVIDIA GeForce GTX 1650,,"15.6 inches, 1920 x 1080 pixels"
HP Victus 16-e0075AX Gaming Laptop,66240,62.0,5th Gen AMD Ryzen 5  5600H ,Hexa Core,12,8 ,512GB,4GB NVIDIA GeForce GTX 1650 ,16.1 inches, 1920 x 1080 pixels,Windows 10 OS
HP Victus 16-e0078AX Gaming Laptop,66240,69.0,5th Gen AMD Ryzen 7 5800H ,Octa Core,16,16,512GB,4GB NVIDIA GeForce RTX 3050Ti ,16.1 inches, 1920 x 1080 pixels,Windows 10 OS
HP Pavilion Gaming 15-DK1511TX Laptop,66240,64.0,10th Gen Intel Core i7 10870H,Octa Core,16,16,512GB,4GB NVIDIA GeForce GTX 1650 Ti,15.6 inches, 1920 x 1080 pixels,Windows 10 OS
HP Pavilion 15-ec1512AX Gaming Laptop,66240,66.0,4th Gen AMD Ryzen 7  4800H,Octa Core,16,16,1TB,256GB SSD,4 GB NVIDIA GeForce 1650Ti,,"15.6 inches, 1920 x 1080 pixels"
HP ProBook 440 G8 28K89UT Laptop,66240,,11th Gen Intel Core i7 1165G7,Quad Core,8,8 ,512GB,Intel Iris Xe Graphics,14 inches, 1920 x 1080 pixels,Windows 10  OS
HP Zbook Firefly 15 G7 1Y5X2UT Laptop,66240,53.0,10th Gen Intel  Core i7 10510U ,Quad Core,8,16,1TB, Intel UHD Graphics,15.6 inches, 1920 x 1080 pixels,Windows 10  OS
HP 14s-dq2101TU Laptop,66240,,11th Gen Intel Core i3 1115G4 ,Dual Core,4,8 ,256GB,Intel UHD Graphics,14 inches, 1366 x 768 pixels,Windows 10  OS
HP 15s-dr3500TX Laptop,66240,54.0,11th Gen Intel Core i5 1135G7 ,Quad Core,8,8 ,512GB,2GB NVIDIA GeForce MX350,15.6 inches, 1920 x 1080 pixels,Windows 10 OS
HP 11A-NA0002MU Chromebook,66240,,MediaTek MT8183 MT8183,Octa Core</li,,4 ,MediaTek,"11.6inches, 1366x768pixels, Touch Screen",Chrome OS,,Chrome OS
HP 340S G7 9EJ44PA Laptop,66240,51.0,10th Gen Intel Core i5 1035G1 ,Quad Core,8,8 ,512GB,Intel UHD Graphics,14 inches, 1366 x 768 pixels,Windows 10 OS
HP 15s-FQ2072TU Laptop,66240,51.0,11th Gen Intel Core i3 1115G4,Dual Core,4,8 ,512GB,Intel Integrated UHD,15.6 inches, 1920 x 1080 pixels,Windows 10 OS
HP Pavilion 14-dv0084TX Laptop,66240,56.0,11th Gen Intel Core i5 1135G7 ,Quad Core,8,16,512GB,2GB NVIDIA GeForce MX450,14 inches, 1920 x 1080 pixels,Windows 10 OS
HP 440 G7 9KW88PA Notebook,66240,57.0,10th Gen Intel Core i7 10510U ,Quad Core,8,8 ,512GB,Intel UHD Graphics 620,14 inches, 1920 x 1080 pixels,Windows 10 OS
HP 15s-du3060TX Laptop,66240,61.0,11th Gen Intel Core i5 1135G7,Quad Core,8,8 ,1TB,2GB NVIDIA GeForce MX350,15.6 inches, 1920 x 1080 pixels,Windows 10 OS
HP 440 G7 9KW91PA Laptop,66240,55.0,10th Gen Intel Core i5 10210U ,Quad Core,8,8 ,512GB,Intel Integrated 620,14 inches, 1920 x 1080 pixels,Windows 10 OS
HP 15s-du3038TU Laptop,66240,53.0,11th Gen Intel Core i3 1115G4,Dual Core,4,8 ,1TB,Intel Integrated UHD,15.6 inches, 1920 x 1080 pixels,Windows 10 OS
HP 15s-gy0003AU Laptop,66240,,AMD Athlon Silver 3020e ,Dual Core</li,,4 ,1TB,AMD Radeon,15.6 inches, 1366 x 768 pixels,Windows 10  OS
HP Elitebook 830 G7,66240,57.0,10th Gen Intel  Core i7 10510U,Quad Core,8,8 ,512GB,Intel UHD 620,13.3 inches, 1920 x 1080 pixels,Windows 10 OS
HP EliteBook 830 G6,66240,,8th Gen Intel Core i5 8265U,Quad Core,8,8 ,256GB,Integrated UHD Graphics 620,13.3 inches, 1920 x 1080 pixels,Windows 10 OS
HP Elitebook 840 G7,66240,54.0,10th Gen Intel Core i5 10210U,Quad Core,8,8 ,256GB,Intel UHD 620,14 inches, 1920 x 1080 pixels,Windows 10 OS
HP 15s-dr1000tu Laptop,66240,59.0,10th Gen Intel Core i5 10210U ,Quad Core,8,8 ,1TB,256GB SSD,Intel UHD Graphics,,"15.6 inches, 1920 x 1080 pixels"
HP 245 G7,66240,,3rd Gen AMD Ryzen 5 3500u,Quad Core,8,4 ,1TB,AMD Radeon Vega,14 inches, 1366 x 768 pixels,DOS OS
HP EliteBook 840 G7,66240,51.0,10th Gen Intel Core i7 10510U,Quad Core,8,8 ,512GB,Intel UHD Graphics 620,14 inches, 1920 x 1080 pixels,Windows 10 OS
HP ZBook 14u G6,66240,61.0,8th Gen Intel Core i7 8565U,Quad Core,8,8 ,512GB,4GB AMD Radeon Pro WX 3200,14 inches, 1920 x 1080 pixels,Windows 10 OS
HP Omen 15-ek0025tx Laptop,66240,60.0,10th Gen Intel Core i5 10300H,Quad Core,8,8 ,512GB,4GB NVIDIA Geforce GTX 1650,15.6 inches, 1920 x 1080 pixels,Windows 10 OS
HP 348 G7 Laptop,66240,,8th Gen Intel Core i3 8130U,Dual Core,4,8 ,1TB,Intel UHD Graphics 620,14 inches, 1920 x 1080 pixels,Windows 10  OS
HP 15s-du1065TU Laptop,66240,54.0,10th Gen Intel Core i5 10210U,Quad Core,8,4 ,512GB,Intel UHD,15.6 inches, 1920 x 1080 pixels,Windows 10 OS
HP 17-by1061st Laptop,66240,51.0,8th Gen Intel Core i3 8145U,Dual Core,4,8 ,1TB,Intel UHD 620,17.3 inches, 1600 x 900 pixels,Windows 10 OS
HP Pavilion x360 14-dh1179TU Laptop,66240,61.0,10th Gen Intel Core i5 10210U,Quad Core,8,8 ,512GB,Intel Integrated UHD,14 inches, 1920 x 1080 pixels,Windows 10 OS
HP 14s-cr2000TX Laptop,66240,63.0,10th Gen Intel Core i5 10210U,Quad Core,8,8 ,1TB,256GB SSD,2 GB AMD Radeon 530,,"14 inches, 1920 x 1080 pixels"
HP 15-ec0101AX Gaming Laptop,66240,57.0,AMD Ryzen 5  3550H,Quad Core,8,8 ,1TB,4GB NVIDIA Geforce GTX 1650,15.6 inches, 1920 x 1080 pixels,Windows 10 OS
HP ZBook Studio x360 G5,66240,78.0,8th Gen Intel Core i7 8850H,Hexa Core,12,16,1TB,4GB Quadro P1000,15.6 inches, 1920 x 1080 pixels,Windows 10 OS
HP 15-di0001TU Laptop,66240,,Intel  Pentium Gold 4417U,Dual Core,4,4 ,1TB,Intel HD Graphics 610,15.6 inches, 1366 x 768 pixels,Windows 10 OS
HP Notebook 14-ck0155tu Laptop,66240,50.0,7th Gen Intel Core i3 7020U,Dual Core,4,8 ,1TB,Intel HD 620,14 inches, 1366 x 768 pixels,Windows 10 OS
HP EliteBook x360 1030 G3,66240,59.0,8th Gen Intel Core i5 8250U,Quad Core,8,8 ,256GB,Intel UHD Graphics 620,13.3 inches, 1920 x 1080 pixels,Windows 10 OS
HP Chromebook x360 12b-ca0006TU Laptop,66240,,Intel Celeron N4000 N4000,Dual Core,2,4 ,64GB,Intel UHD Graphics 600,12 inches, 1366 x 912 pixels,Chrome OS
HP 15q-ds0043tu,66240,54.0,7th Gen Intel Core i3 7020U,Dual Core,4,4 ,1TB,Intel HD 620,15.6 inches, 1366 x 768 pixels,Windows 10 OS
HP 15-db0244au Laptop,66240,,AMD A9-9425 9425,Dual Core</li,,4 ,1TB,AMD Radeon R5,15.6 inches, 1366 x 768 pixels,"15.6 inches, 1366 x 768 pixels"
HP EliteBook 830 G6,66240,,8th Gen Intel Core i5 8265U,Quad Core,8,8 ,512GB,Integrated UHD Graphics 620,13.3 inches, 1920 x 1080 pixels,Windows 10 OS
HP ProBook 430 G6,66240,63.0,8th Gen Intel Core i5 8265U,Quad Core,8,8 ,1TB,128GB SSD,Integrated UHD 620,,"13.3 inches, 1920 x 1080 pixels"
HP Notebook 14-dk0093au,66240,,2.1GHz AMD Ryzen 5 3500U processor,8GB DDR4 RAM</li,,1T,14-inch,Windows 10 Home operating system,,,"14-inch screen, Radeon Vega 8 Graphics"
HP ProBook 440 G6,66240,60.0,8th Gen Intel Core i5 8265U,Quad Core,8,8 ,1TB,Integrated UHD 620,14 inches, 1366 x 768 pixels,Windows 10 OS
HP EliteBook 840 G6,66240,57.0,8th Gen Intel Core i5 8265U,Quad Core,8,8 ,512GB,2GB AMD Radeon Radeon,14 inches, 1920 x 1080 pixels,Windows 10 OS
HP EliteBook 840 G6,66240,56.0,8th Gen Intel Core i7 8565U,Quad Core,8,16,1TB,2GB Integrated UHD Graphics 620,14 inches, 1920 x 1080 pixels,Windows 10 OS
HP ProBook 430 G6,66240,69.0,8th Gen Intel Core i7 8565U,Quad Core,8,16,1TB,128GB SSD,Intel Integrated UHD 620,,"13.3 inches, 1920 x 1080 pixels"
HP EliteBook 840 G6,66240,,8th Gen Intel Core i5 8265U,Quad Core,8,8 ,256GB,UHD Graphics 620,14 inches, 1920 x 1080 pixels,Windows 10 OS
